Jully
Category,Bill,Amount
utilties,NFTC (internet/tv,$682.46
,HYDRO acc 7908 (motel),
,HYDRO acc 7504 (house),
,KELLYS PROPANE,$84.75
,RELIANCE,$55.68
,BELL,
,BELL TOLL FREE,
,LAKEVIEW CELL PHONE,
,,
housekeeping,independent clean prod,$24.80
,national sanitisation,"$1,107.47"
,True North Hospitality,$993.47
,imperial coffee,
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,$766.00
,,
Lakeview maintainence,BIG HANDS CONTRACT,$300.00
,Applicance - dryer/waher,
,Happy Trils  snow groom,
,JAMES BAULDRY - ROOF,
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,
,HOME HARDWARE,
,SHARP ELECTRIC,
,gleoff family store,
,HOME DEPOT,
,PUMP SHOP,
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$116.59
,GAS HANSA,
,GAS HARSHA,
,GAS - JAG,
,truck repair,$869.69
,407 ETR,
BOOKING ADMIN and  PMS,BOOKING.COM,
,EXPEDIA,
,LITTLE HOTELIER,
,cloudbeds,
,,
PROPERTY LAKEVIEW,Property tax,
,insurance,"$1,564.52"
,POSITIVE MEDIA,
,,
Other,cheques - costco,$121.98
,divine accountant corp,$678.00
,hostpapa,$165.15
,michaels,
,E WORKPLACE TRAINING,
,PRN LEGAL,
,walkerton trainng course,
,balance from closing,
,WALMART,
,AMAZON,
,Staples,
,VALUE VILLAGE,
,fire safety check report,
,CANADIAN TIRE,
,DOLLAR STORE,
,DYSON alarm,
,,
,SHAMROCK  SERVICES,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,$121.98
,chambers of commerce,$678.00
,snow mobile association,$165.15
,snow county Advert,
,ARTS council highland,
,Halibton echo winter guid,
TOTAL,,"$8,495.69"
,,
STAFF PAY,PAY MONTHLY,
BARB,,1283.86
GIYAB,,504.37
LEXI,,
LAUREN,,
HARSHA,,
JAGDISH,,3875.36
BHARTI SHRIMALI,,
TOTAL,,5663.59
,,
LAKEVIEW EXPENSE,,"$8,485.69"
STAFF EXPENSE,,5663.59
GRAND TOTAL,,"$14,149.28"
