SEPTEMBER
Category,Bill,Amount
utilties,NFTC (internet/tv,$682.46
,HYDRO acc 7908 (motel),"$1,167.92"
,HYDRO acc 7504 (house),$976.31
,KELLYS PROPANE,
,RELIANCE,
,BELL,$633.69
,BELL TOLL FREE,
,LAKEVIEW CELL PHONE,$111.11
,,
housekeeping,independent clean prod,$32.15
,national sanitisation,$573.60
,True North Hospitality,$42.38
,imperial coffee,
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,"$3,661.14"
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,Happy Trils  snow groom,
,JAMES BAULDRY - ROOF,
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,$621.50
,HOME HARDWARE,$337.69
,SHARP ELECTRIC,
,gleoff family store,$14.68
,HOME DEPOT,
,PUMP SHOP,$302.22
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,GAS HANSA,
,GAS HARSHA,
,GAS - JAG,
,truck repair,
,407 ETR,
BOOKING ADMIN and  PMS,BOOKING.COM,$858.45
,EXPEDIA,"$1,582.20"
,LITTLE HOTELIER,$149.00
,cloudbeds,$302.00
,,
PROPERTY LAKEVIEW,Property tax,
,insurance,"$1,564.52"
,POSITIVE MEDIA,
,,
Other,cheques - costco,
,divine accountant corp,
,hostpapa,
,michaels,$373.27
,E WORKPLACE TRAINING,
,PRN LEGAL,
,walkerton trainng course,$310.75
,balance from closing,
,WALMART,
,AMAZON,
,Staples,
,VALUE VILLAGE,
,fire safety check report,
,CANADIAN TIRE,
,DOLLAR STORE,
,DYSON alarm,
,,
,SHAMROCK  SERVICES,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,$233.06
,chambers of commerce,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Halibton echo winter guid,
TOTAL,,"$14,530.10"
,,
STAFF PAY,PAY MONTHLY,
BARB,,1822.23
GIYAB,,928.22
LEXI,,
LAUREN,,1488.92
HARSHA,,1178.02
JAGDISH,,3875.36
BHARTI SHRIMALI,,
TOTAL,,9292.75
,,
LAKEVIEW EXPENSE,,14530.1
STAFF EXPENSE,,9292.75
GRAND TOTAL,,23822.85
