NOVEMBER
Category,Bill,Amount
utilties,NFTC (internet/tv,$684.26
,HYDRO acc 7908 (motel),"$1,202.60"
,HYDRO acc 7504 (house),$625.41
,KELLYS PROPANE,"$1,254.77"
,RELIANCE,$93.05
,BELL,$633.69
,BELL TOLL FREE,$31.12
,LAKEVIEW CELL PHONE,
,,
housekeeping,independent clean prod,
,national sanitisation,$410.73
,True North Hospitality,$641.60
,imperial coffee,$241.78
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,Happy Trils  snow groom,
,JAMES BAULDRY - ROOF,
,weed control,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,
,webster grass cutting,$169.50
,HOME HARDWARE,$473.73
,SHARP ELECTRIC,"$1,168.83"
,gleoff family store,
,HOME DEPOT,$111.87
,PUMP SHOP,$143.48
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,GAS HANSA,
,GAS HARSHA,
,GAS - JAG,
,truck repair,
,407 ETR,$148.00
BOOKING ADMIN and  PMS,BOOKING.COM,$918.01
,EXPEDIA,$877.41
,LITTLE HOTELIER,$185.97
,cloudbeds,$389.60
,,
PROPERTY LAKEVIEW,Property tax,
,insurance,"$1,564.52"
,POSITIVE MEDIA,$678.00
,,
Other,cheques - costco,
,divine accountant corp,
,hostpapa,
,michaels,
,E WORKPLACE TRAINING,
,PRN LEGAL,
,walkerton trainng course,
,balance from closing,
,WALMART,$30.64
,AMAZON,$134.06
,Staples,
,VALUE VILLAGE,$67.70
,fire safety check report,$226.00
,CANADIAN TIRE,"$2,610.22"
,DOLLAR STORE,$128.26
,DYSON alarm,
,,
,SHAMROCK  SERVICES,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Halibton echo winter guid,
TOTAL,,"$15,844.81"
,,
STAFF PAY,PAY MONTHLY,
BARB,,1368.88
GIYAB,,885.79
LEXI,,
LAUREN,,932.51
HARSHA,,2996.63
JAGDISH,,3875.36
BHARTI SHRIMALI,,961.4
TOTAL,,11020.57
,,
LAKEVIEW EXPENSE,,15844.81
STAFF EXPENSE,,11020.57
GRAND TOTAL,,26865.38
