DECEMBER
Category,Bill,Amount
utilties,NFTC (internet/tv,$682.46
,HYDRO acc 7908 (motel),"$1,431.28"
,HYDRO acc 7504 (house),$514.50
,KELLYS PROPANE,"$1,167.28"
,RELIANCE,$96.80
,BELL,$640.96
,BELL TOLL FREE,"$1,801.00"
,LAKEVIEW CELL PHONE,
,,
housekeeping,independent clean prod,
,national sanitisation,
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,sun linen bedding,
,shoppers drug mart,
,costco,$216.89
,,
Lakeview maintainence,BIG HANDS CONTRACT,
,Applicance - dryer/waher,
,Happy Trils  snow groom,$153.68
,JAMES BAULDRY - ROOF,"$5,650.00"
,weed control,
,SHAWN PLUMBER,$259.80
,KELLY HATTON SNOW,"$1,045.00"
,webster grass cutting,
,HOME HARDWARE,$105.02
,SHARP ELECTRIC,"$2,614.16"
,gleoff family store,
,HOME DEPOT,
,PUMP SHOP,$942.62
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,GAS HANSA,
,GAS HARSHA,$345.77
,GAS - JAG,
,truck repair,"$1,448.47"
,407 ETR,$57.85
BOOKING ADMIN and  PMS,BOOKING.COM,$111.54
,EXPEDIA,$229.14
,LITTLE HOTELIER,$149.00
,cloudbeds,$389.60
,,
PROPERTY LAKEVIEW,Property tax,
,insurance,"$1,564.52"
,POSITIVE MEDIA,
,,
Other,cheques - costco,
,divine accountant corp,
,hostpapa,
,michaels,
,E WORKPLACE TRAINING,$216.63
,PRN LEGAL,"$1,695.00"
,walkerton trainng course,
,balance from closing,
,WALMART,
,AMAZON,$342.77
,Staples,
,VALUE VILLAGE,
,fire safety check report,
,CANADIAN TIRE,
,DOLLAR STORE,
,DYSON alarm,$508.50
,,
,SHAMROCK  SERVICES,$113.00
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,chambers of commerce,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Halibton echo winter guid,$457.65
TOTAL,,"$24,950.89"
,,
STAFF PAY,PAY MONTHLY,
BARB,,1107.73
GIYAB,,1220.9
LEXI,,
LAUREN,,1013.72
HARSHA,,3000.89
JAGDISH,,3879.6
BHARTI SHRIMALI,,961.4
TOTAL,,11184.24
,,
LAKEVIEW EXPENSE,,24950.89
STAFF EXPENSE,,11184.24
GRAND TOTAL,,36135.13
