Table 1
Mortgage ,John/Holly,"$6,257.88"
utilties,NFTC (internet/tv,$682.46
,HYDRO acc 7908 (motel),"$1,518.18"
,HYDRO acc 7504 (house),$680.36
,KELLYS PROPANE,
,RELIANCE,$96.80
,BELL,$654.58
,BELL TOLL FREE,$15.76
,Clover,$33.90
,Lakevie cell phone,$60.00
,,
housekeeping,independent,
,national sanitisation,$500.69
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,$585.66
,sun linen bedding,
,shoppers drug mart,
,costco,
,,
Lakeview maintainence,BIG HANDS CONTRACT,$791.00
,Applicance - dryer/waher,
,country rose flower Hali,$408.45
,CANAN flowers,
,Flowers(oakville),$246.25
,hot tub sign,
,Wilson pool,$625.13
,Walkers Heating,
,Happy Trails  snow groom,
,Jim Winn phone line,
,tree cutting,
,Lawn mower purchase,"$1,500.00"
,Pest Control,"$1,096.10"
,weed control,$632.69
,SHAWN PLUMBER,$326.25
,webster grass cutting,"$1,971.85"
,canadian tire,
,Lowes,
,HOME HARDWARE,$52.94
,SHARP ELECTRIC,
,Timber Mart,$589.88
,HOME DEPOT,$143.54
,PUMP SHOP,$599.26
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,$138.00
,GAS HANSA,$90.00
,GAS HARSHA,$150.01
,GAS - JAG,
,,
,truck repair,$152.55
,407 ETR,$101.82
BOOKING ADMIN and  PMS,BOOKING.COM,$219.75
,EXPEDIA,$236.33
,cloudbeds,$374.40
GOOGLE,workspace,
PROPERTY LAKEVIEW,Property tax,"$2,328.57"
taxes,commercial,"$3,024.10"
WSIB,,
,insurance,"1,564.52"
,,
Other,costco,$132.50
,divine accountant corp,
,HR BLOCK,$74.29
,alqounquin outfitters,
,michaels,
,Printer INK,
,LCBO,$472.10
,Beer Store,$261.50
,boshkung brewery,$238.80
,AMAZON,
,VALUE VILLAGE,$105.66
,Drone photo,
,WOW deal store,
,DOLLAR STORE,
,DYSON alarm,
,john previous owner,$500.00
,SHAMROCK  SERVICES,$127.10
,hot tub kent hansen,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,country sign,$185.32
,chambers of commerce,
,Fire fighters AD,
,snow mobile association,
,snow county Advert,
,ARTS council highland,
,Huskies AD,
,Halibton echo,$339.00
TOTAL,,"$24,628.05"
