Table 1
Mortgage payments,John and holly,"6,257.88"
utilties,NFTC (internet/tv,$       697.42
,HYDRO  DOME,$       329.92
,HYDRO acc 7908 (motel),"$2,346.02"
,HYDRO acc 7504 (house),$912.74
,KELLYS PROPANE MONITOR,$74.24
,KELLYS PROPANE,"$   1,561.36"
,KELLYS PROPANE- DOME,$       719.60
,RELIANCE,$       138.10
,BELL,$       549.04
,BELL TOLL FREE,$9.49
,Lakeviewcell phone,$69.50
,,
housekeeping,independent clean prod\grocery,
,food land,
,national sanitisation,
,True North Hospitality,
,imperial coffee,
,sysco laudry detergent,
,,
Maintainence,BIG HANDS CONTRACT,"$   2,034.00"
,Applicance - dryer/waher,
,snow blower repair,
,wilson pool,
,Happy Trils  snow groom,
,R W Renovations,
,elstone property maint,
,hardwood giant,
,maple concrete sealant,
,floor it wood flooring,
,Hot Tub repair,
,Jim Winn phoe line,$85.00
,pest control,$       146.90
,concrete pool level,
,weed control,
,AA property maintainence,
,SHAWN PLUMBER,
,KELLY HATTON SNOW,$       678.00
,webster grass cutting,
,canadian appliance,
,HOME HARDWARE,
,tailors choice oakville,
,SHARP ELECTRIC,
,DR Handy man ( dave ),
,menu in room wood,
,emerson lumber,$         11.29
,walkers heating,
,haliburton lanfill,
,TimberMart,
,HOME DEPOT,$11.30
,CANAN GARDENS,
,FRESHCO,
,county signs,
,country rose flowers,
,PUMP SHOP,$       180.72
,,
TRUCK EXPENSE,TRUCK registeration,
,insurance,
,,
,GAS,$285.45
,majestic auto wash,
,Pearson parking,
,truck repair,$       135.60
,407 ETR hansa/jag/harsha,$137.00
BOOKING ADMIN and  PMS,BOOKING.COM,$202.79
,EXPEDIA,$       914.80
,cloudbeds,$374.40
,google workspace,$35.26
,CLOVER,$16.95
PROPERTY LAKEVIEW,Property tax,"2,549.37"
,Commercial taxes emptx,"$3,573.51"
,Commercial taxes GST,
,COMMERCIAL taxins,
,insurance - aligned,"$1,512.72"
,Insurance MO ( Liabilty),
,WSIB,
Other,cheques costco,
,costco,$48.57
,divine accountant corp,
,multivisions,
,ETSY,
,hostpapa,
,michaels,
,rack cards,
,apple,
,ACM Designs,
,DOntation ( places people,
,IKEA,
,christina bucci - postcard,
,Glecoffs,
,shoppers drug mart,$73.82
,rexall pharmacy,$69.59
,tim hortons,
,highland pharmacy,
,roasty campfire,
,flat design,
,Dollarama,$16.69
,Thrift,
,hook line sinker,
,AMAZON,$103.92
,BEST BUY,
,smartglass,
,tim hortons,
,fire safety check report,
,fire starter quick wick,
,CANADIAN TIRE,
,WALMART,254.25
,STAPLES,
,abbey gardens - pizza,
,DYSON alarm,
,Barry Martin,
,SHAMROCK  SERVICES,
,LCBO,
,Hansa shares sold,
,BEER STORE,
,LIQOUR LICENCE REG,
MARKETING,Haliburton curling club,
,photography,
,chambers of commerce,$409.06
,Highlander,$259.34
,snow mobile association,
,firefighter ad,
,adenture haliburton,
,Studio Tour,
,snow county Advert,
,ARTS council highland,
,cottage country ad,
,highland summer festival,
,county sign,
,ATV ASSOCIATION,
,Halibton echo,
TOTAL,,"$21,527.73"
