Table 1
,,January,February,March,April,May,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,
DOME,Dysart Planning,"$3,148.33",,2650,,,,,,$268.76,,,,"$6,067.09"
,hytech - keith moor,,4014.5,,,,,,,,,,,"$4,014.50"
,Geodomes Canada,,"34,973.50",,"30,238.80","$6,585.64","$3,292.82",,"$6,994.70",,,,,"$82,085.46"
,Decking,,"24,860.00","10,028.75","$10,170.00","$2,373.00","$5,650.00","$10,955.00",,"$6,643.10",,,"$3,307.56","$73,987.41"
,Pump Shop,,,"42,904.74","43,936.58","$5,000.00",,,"$5,524.10",,,,,"$97,365.42"
,Fire burn permit,,,,,,,,,,,,,
,Sharp Electric,,,,"$7,631.57","$10,039.20",,"$4,502.77",,"$3,839.63",,,"$1,847.93","$27,861.10"
,Hydr o one,,,,,"$16,066.46",,,,,,,,"$16,066.46"
,Tree kings,,,,"3,500.00",,,,,,,,,"$3,500.00"
,custom finishing,,,,,,$550.00,,,,,,,
,Northern expression,,,,,,$194.33,,,$90.39,$146.88,,,$431.60
,mike live edge,$141.25,,,,,,,,,,,,
,walkers heating,,,,,,,,,"$10,255.00","$11,017.55",,,"$21,272.55"
,kohara lighting,"$2,113.55",,,,"$2,160.84",$350.75,,"$2,738.60","$7,830.03",,,,"$13,080.22"
,Jamie - Landscape,,,,,,,,"$12,543.00",$600.00,,,,"$13,143.00"
,Tand A applicance,,,,,,,,,"$2,360.00",,,,"$2,360.00"
,canadian applicance,,,,,,,,,$275.44,$826.31,,,"$1,101.75"
,up river trading,$56.49,,,,,,,,,,,,
,STONE SELEX,$428.99,,,,,,,,,,,,$428.99
,URBAN BARN,,56.49,,,,,,,,$22.57,,,$79.06
,ACM DESIGNS,,,,,,,"$4,548.86","$3,023.48",,,,,"$7,572.34"
,CHALK CABINETRY,,,,,,,,"$4,657.30",,,,,"$4,657.30"
,Plumber,"$1,486.50",,,,,"$1,850.00",,"$1,850.00",,"$1,356.00",,,"$5,056.00"
,RIVERVIEW FURNITURE,,,,,,,,,,"$3,114.48",,,"$3,114.48"
,amy awnings,,,$565.00,,,,,,,,,,
,SILK AND SNOW,,,,,,,,,"$1,728.90",,,,"$1,728.90"
,glecoffs,,,$56.49,,,,,,,,,,
,DOT FURNITURE,,201.14,,,,,,,,,,,
,TOTAL,"$7,375.11","$64,105.63",56148.49,"$95,476.95","$42,225.14","$9,687.15","$20,006.63","$37,331.18","$33,891.25","$16,483.79",$                      -,"$5,155.49","$384,973.63"
